timestamp,energy_consumption_kwh,temperature_celsius,humidity_percent,production_rate,operating_status,weather_condition,energy_cost_per_kwh,downtime_minutes,load_factor,maintenance_alert
2024-01-01 00:00:00,13.98,6.9,86.6,78,0,2,0.16,0,0.58,0
2024-01-01 01:00:00,18.93,-3.0,24.1,112,0,0,0.16,0,0.85,0
2024-01-01 02:00:00,25.03,-9.1,87.9,189,0,3,0.121,0,0.59,0
2024-01-01 03:00:00,9.79,-1.7,41.3,58,0,1,0.143,0,0.65,0
2024-01-01 04:00:00,9.06,17.5,29.8,109,0,0,0.137,0,0.73,0
2024-01-01 05:00:00,17.91,25.3,34.0,193,0,3,0.159,0,0.52,0
2024-01-01 06:00:00,5.19,17.3,31.9,106,0,2,0.195,0,0.98,0
2024-01-01 07:00:00,4.2,26.4,41.3,51,1,1,0.168,22,0.0,1
2024-01-01 08:00:00,15.38,9.8,28.5,158,0,1,0.103,0,0.95,0
2024-01-01 09:00:00,9.21,1.6,66.4,105,2,2,0.152,0,0.0,0
2024-01-01 10:00:00,17.17,14.6,32.9,76,0,0,0.178,0,0.97,0
2024-01-01 11:00:00,22.59,30.3,61.9,141,1,2,0.109,25,0.0,1
2024-01-01 12:00:00,7.41,-1.2,23.2,61,1,0,0.139,29,0.0,1
2024-01-01 13:00:00,11.94,2.2,78.0,146,0,2,0.128,0,0.77,0
2024-01-01 14:00:00,6.28,-3.7,76.2,142,0,0,0.199,0,0.89,0
2024-01-01 15:00:00,13.72,-1.1,20.4,61,0,2,0.171,0,0.86,0
2024-01-01 16:00:00,8.28,24.7,25.2,70,1,0,0.112,12,0.0,0
2024-01-01 17:00:00,10.27,28.8,63.6,121,0,2,0.106,0,0.66,0
2024-01-01 18:00:00,13.56,4.6,71.1,91,0,1,0.189,0,0.74,0
2024-01-01 19:00:00,17.63,-4.6,69.9,118,1,0,0.156,19,0.0,0
2024-01-01 20:00:00,11.93,24.7,54.6,93,0,1,0.143,0,0.51,0
2024-01-01 21:00:00,13.54,-5.1,22.2,91,0,2,0.131,0,0.75,0
2024-01-01 22:00:00,15.43,30.8,37.5,192,0,2,0.176,0,0.61,0
2024-01-01 23:00:00,5.4,-6.5,40.3,64,0,0,0.193,0,0.9,0
2024-01-02 00:00:00,19.39,18.5,81.0,130,0,0,0.119,0,0.95,0
2024-01-02 01:00:00,18.7,14.3,76.5,104,2,2,0.132,0,0.0,0
2024-01-02 02:00:00,11.05,-5.0,36.0,104,0,3,0.182,0,0.93,0
2024-01-02 03:00:00,14.26,-9.7,55.8,167,0,1,0.122,0,0.56,0
2024-01-02 04:00:00,9.77,5.2,86.0,113,1,2,0.152,23,0.0,1
2024-01-02 05:00:00,29.23,21.6,45.5,199,0,3,0.196,0,0.63,0
2024-01-02 06:00:00,10.35,12.4,41.1,142,0,1,0.104,0,0.8,0
2024-01-02 07:00:00,11.84,12.6,23.6,180,0,0,0.191,0,0.62,0
2024-01-02 08:00:00,17.6,-3.5,54.3,78,0,1,0.124,0,0.84,0
2024-01-02 09:00:00,20.19,24.3,36.6,158,0,3,0.137,0,0.82,0
2024-01-02 10:00:00,6.72,18.5,57.5,147,0,3,0.184,0,0.66,0
2024-01-02 11:00:00,19.17,-1.6,22.9,185,0,0,0.168,0,0.51,0
2024-01-02 12:00:00,12.82,13.0,35.9,79,0,2,0.117,0,0.85,0
2024-01-02 13:00:00,7.35,7.4,85.6,137,0,3,0.134,0,0.56,0
2024-01-02 14:00:00,7.72,31.6,81.4,90,0,2,0.166,0,0.91,0
2024-01-02 15:00:00,10.94,15.0,57.1,178,1,0,0.109,27,0.0,1
2024-01-02 16:00:00,15.97,30.4,83.0,126,1,1,0.134,4,0.0,0
2024-01-02 17:00:00,22.48,5.7,70.8,145,1,0,0.189,19,0.0,0
2024-01-02 18:00:00,6.2,25.1,64.9,132,0,0,0.116,0,0.95,0
2024-01-02 19:00:00,6.8,17.3,20.6,142,1,2,0.166,7,0.0,0
2024-01-02 20:00:00,10.48,-9.8,31.3,64,0,0,0.169,0,0.83,0
2024-01-02 21:00:00,6.67,0.1,69.9,71,1,0,0.133,24,0.0,1
2024-01-02 22:00:00,25.15,23.6,65.5,186,1,1,0.166,21,0.0,1
2024-01-02 23:00:00,13.39,15.6,26.6,171,2,1,0.127,0,0.0,0
2024-01-03 00:00:00,11.16,1.0,88.1,117,0,3,0.189,0,0.82,0
2024-01-03 01:00:00,13.5,25.8,55.2,104,2,1,0.149,0,0.0,0
2024-01-03 02:00:00,9.72,-1.2,70.6,129,0,2,0.102,0,0.82,0
2024-01-03 03:00:00,25.23,-2.0,85.8,162,1,3,0.191,3,0.0,0
2024-01-03 04:00:00,20.08,6.7,21.1,113,0,2,0.143,0,0.98,0
2024-01-03 05:00:00,6.75,33.4,79.7,55,0,1,0.139,0,0.93,0
2024-01-03 06:00:00,19.36,4.3,31.9,200,0,0,0.194,0,0.85,0
2024-01-03 07:00:00,11.42,15.7,26.8,65,0,0,0.199,0,0.57,0
2024-01-03 08:00:00,18.55,13.3,81.4,134,0,1,0.17,0,0.85,0
2024-01-03 09:00:00,18.73,6.2,40.6,121,0,1,0.181,0,0.93,0
2024-01-03 10:00:00,17.31,31.1,55.8,188,0,3,0.18,0,0.82,0
2024-01-03 11:00:00,19.33,21.6,75.7,112,1,3,0.134,6,0.0,0
2024-01-03 12:00:00,11.53,6.9,26.6,74,0,3,0.104,0,0.73,0
2024-01-03 13:00:00,16.14,14.4,40.1,140,0,3,0.103,0,0.52,0
2024-01-03 14:00:00,4.92,27.0,45.2,63,0,0,0.152,0,0.88,0
2024-01-03 15:00:00,4.43,-0.3,63.6,65,0,2,0.105,0,0.77,0
2024-01-03 16:00:00,13.82,14.3,64.6,77,0,1,0.198,0,0.76,0
2024-01-03 17:00:00,11.96,4.5,75.7,187,0,3,0.144,0,0.54,0
2024-01-03 18:00:00,17.03,-8.9,87.4,96,0,1,0.17,0,0.7,0
2024-01-03 19:00:00,6.76,-2.2,31.0,69,0,0,0.155,0,0.86,0
2024-01-03 20:00:00,15.62,19.7,39.6,62,0,0,0.174,0,0.78,0
2024-01-03 21:00:00,6.89,17.5,49.4,73,2,1,0.136,0,0.0,0
2024-01-03 22:00:00,5.62,24.1,21.0,92,0,3,0.105,0,0.52,0
2024-01-03 23:00:00,11.82,28.5,69.3,104,1,0,0.11,5,0.0,0
