timestamp,energy_consumption_kwh,temperature_celsius,humidity_percent,production_rate,operating_status,weather_condition,energy_cost_per_kwh,downtime_minutes,load_factor,maintenance_alert
2024-01-01 00:00:00,8.58,18.9,24.3,0,0,3,0.165,0,0.81,0
2024-01-01 01:00:00,3.83,-0.1,48.3,0,0,0,0.17,0,1.0,0
2024-01-01 02:00:00,4.7,-1.3,28.7,0,1,1,0.15,10,0.0,0
2024-01-01 03:00:00,9.88,21.6,54.7,0,0,3,0.174,0,0.59,0
2024-01-01 04:00:00,9.03,3.2,76.2,0,0,3,0.153,0,0.73,0
2024-01-01 05:00:00,7.63,-3.1,37.2,0,0,0,0.105,0,0.8,0
2024-01-01 06:00:00,5.37,0.2,35.5,0,0,3,0.145,0,0.82,0
2024-01-01 07:00:00,3.29,-3.3,44.1,0,1,2,0.153,25,0.0,1
2024-01-01 08:00:00,2.45,-1.3,81.6,0,2,3,0.157,0,0.0,0
2024-01-01 09:00:00,3.97,21.8,82.8,0,0,2,0.168,0,0.85,0
2024-01-01 10:00:00,5.66,15.9,79.6,0,0,0,0.171,0,0.59,0
2024-01-01 11:00:00,7.88,33.6,63.1,0,0,0,0.13,0,0.71,0
2024-01-01 12:00:00,9.25,-2.0,86.6,0,0,3,0.115,0,0.62,0
2024-01-01 13:00:00,6.68,13.9,28.3,0,0,1,0.127,0,0.82,0
2024-01-01 14:00:00,6.22,-6.5,31.4,0,0,0,0.17,0,0.79,0
2024-01-01 15:00:00,4.19,4.1,60.8,0,1,3,0.196,30,0.0,1
2024-01-01 16:00:00,5.68,-2.8,62.7,0,0,3,0.134,0,0.75,0
2024-01-01 17:00:00,9.19,-4.6,50.1,0,1,1,0.115,10,0.0,0
2024-01-01 18:00:00,8.56,15.2,74.7,0,0,3,0.117,0,0.87,0
2024-01-01 19:00:00,5.39,24.3,58.3,0,0,1,0.106,0,0.5,0
2024-01-01 20:00:00,4.24,16.2,45.3,0,0,3,0.111,0,0.97,0
2024-01-01 21:00:00,2.31,-1.8,66.3,0,1,0,0.166,18,0.0,0
2024-01-01 22:00:00,6.74,19.4,83.4,0,0,1,0.103,0,0.98,0
2024-01-01 23:00:00,7.95,-5.6,36.8,0,0,1,0.17,0,0.86,0
2024-01-02 00:00:00,6.71,8.9,46.7,0,0,0,0.127,0,0.6,0
2024-01-02 01:00:00,9.18,-2.8,47.0,0,2,2,0.192,0,0.0,0
2024-01-02 02:00:00,6.75,30.2,34.3,0,2,1,0.165,0,0.0,0
2024-01-02 03:00:00,3.0,10.8,59.9,0,0,1,0.19,0,0.57,0
2024-01-02 04:00:00,5.22,27.6,23.6,0,1,0,0.119,0,0.0,0
2024-01-02 05:00:00,9.11,-2.8,67.2,0,0,2,0.179,0,0.65,0
2024-01-02 06:00:00,2.72,17.3,40.6,0,0,2,0.112,0,0.59,0
2024-01-02 07:00:00,6.61,19.7,29.4,0,2,0,0.1,0,0.0,0
2024-01-02 08:00:00,6.55,22.9,38.1,0,0,2,0.135,0,0.77,0
2024-01-02 09:00:00,9.06,-1.3,63.3,0,0,3,0.158,0,0.72,0
2024-01-02 10:00:00,3.88,11.3,48.3,0,2,0,0.138,0,0.0,0
2024-01-02 11:00:00,4.55,9.0,68.2,0,1,0,0.138,8,0.0,0
2024-01-02 12:00:00,8.73,18.0,75.3,0,1,0,0.16,22,0.0,1
2024-01-02 13:00:00,2.25,10.6,66.3,0,0,1,0.156,0,0.65,0
2024-01-02 14:00:00,3.45,13.4,40.3,0,0,0,0.124,0,0.87,0
2024-01-02 15:00:00,8.01,6.9,70.7,0,0,0,0.102,0,0.97,0
2024-01-02 16:00:00,9.6,-5.5,53.0,0,0,1,0.116,0,0.6,0
2024-01-02 17:00:00,8.73,0.5,78.1,0,0,1,0.19,0,0.75,0
2024-01-02 18:00:00,6.88,30.6,38.8,0,1,3,0.143,26,0.0,1
2024-01-02 19:00:00,7.88,3.0,73.4,0,2,3,0.175,0,0.0,0
2024-01-02 20:00:00,7.37,16.9,43.6,0,0,3,0.12,0,0.62,0
2024-01-02 21:00:00,7.73,33.1,58.1,0,0,3,0.146,0,0.5,0
2024-01-02 22:00:00,2.78,13.0,57.8,0,0,2,0.121,0,0.56,0
2024-01-02 23:00:00,8.08,29.7,22.1,0,1,1,0.143,1,0.0,0
2024-01-03 00:00:00,9.82,-9.9,51.4,0,0,2,0.145,0,0.64,0
