timestamp,energy_consumption_kwh,temperature_celsius,humidity_percent,production_rate,operating_status,weather_condition,energy_cost_per_kwh,downtime_minutes,load_factor,maintenance_alert
2024-01-01 00:00:00,2.78,-1.9,62.2,198,0,0,0.15,0,0.56,0
2024-01-01 01:00:00,1.69,-2.1,58.1,157,0,1,0.195,0,0.6,0
2024-01-01 02:00:00,3.03,14.9,49.4,120,2,3,0.148,0,0.0,0
2024-01-01 03:00:00,1.06,1.5,86.4,136,0,0,0.11,0,0.97,0
2024-01-01 04:00:00,1.55,9.2,51.0,51,1,1,0.152,19,0.0,0
2024-01-01 05:00:00,0.95,0.2,86.5,73,0,3,0.136,0,0.76,0
2024-01-01 06:00:00,3.01,29.0,22.5,177,0,0,0.113,0,0.55,0
2024-01-01 07:00:00,1.69,32.4,22.0,188,0,0,0.194,0,0.69,0
2024-01-01 08:00:00,1.63,6.6,41.7,69,1,0,0.119,15,0.0,0
2024-01-01 09:00:00,2.09,0.8,22.2,84,0,3,0.105,0,0.81,0
2024-01-01 10:00:00,4.12,25.8,30.9,59,0,2,0.105,0,0.71,0
2024-01-01 11:00:00,2.29,28.0,69.3,86,1,0,0.171,20,0.0,0
2024-01-01 12:00:00,3.92,-6.0,33.3,181,1,0,0.148,28,0.0,1
2024-01-01 13:00:00,2.25,4.7,26.0,128,0,0,0.131,0,0.57,0
2024-01-01 14:00:00,4.5,13.2,30.5,61,2,0,0.199,0,0.0,0
2024-01-01 15:00:00,2.67,-3.0,29.3,190,0,0,0.198,0,0.72,0
2024-01-01 16:00:00,2.54,8.3,86.9,65,1,0,0.18,5,0.0,0
2024-01-01 17:00:00,4.64,9.6,69.1,157,1,3,0.165,12,0.0,0
2024-01-01 18:00:00,0.78,33.7,71.3,68,1,0,0.104,17,0.0,0
2024-01-01 19:00:00,0.63,-3.5,30.0,92,0,1,0.137,0,1.0,0
2024-01-01 20:00:00,2.54,16.3,71.8,72,0,1,0.118,0,0.68,0
2024-01-01 21:00:00,2.6,0.0,58.6,75,0,0,0.185,0,0.61,0
2024-01-01 22:00:00,4.09,15.8,21.5,53,1,1,0.156,10,0.0,0
2024-01-01 23:00:00,0.78,-7.1,77.1,173,0,1,0.143,0,0.93,0
2024-01-02 00:00:00,1.89,-7.4,37.8,104,0,3,0.155,0,0.75,0
2024-01-02 01:00:00,2.07,28.0,82.8,164,0,1,0.19,0,0.7,0
2024-01-02 02:00:00,4.16,25.1,60.9,109,2,0,0.161,0,0.0,0
2024-01-02 03:00:00,1.03,25.9,60.6,96,0,3,0.179,0,0.85,0
2024-01-02 04:00:00,3.6,25.0,26.8,85,0,1,0.178,0,0.68,0
2024-01-02 05:00:00,0.77,32.9,67.4,78,1,1,0.167,28,0.0,1
2024-01-02 06:00:00,2.24,-9.4,31.6,73,0,0,0.133,0,0.86,0
2024-01-02 07:00:00,1.74,3.5,74.5,189,0,0,0.155,0,0.82,0
2024-01-02 08:00:00,1.89,32.2,22.0,178,0,0,0.12,0,0.85,0
2024-01-02 09:00:00,0.86,11.1,57.6,112,0,2,0.156,0,0.65,0
2024-01-02 10:00:00,0.67,24.8,45.4,130,0,2,0.106,0,0.65,0
2024-01-02 11:00:00,1.82,4.7,67.9,159,0,2,0.177,0,0.78,0
2024-01-02 12:00:00,1.96,3.7,37.9,116,1,3,0.131,16,0.0,0
