timestamp,energy_consumption_kwh,temperature_celsius,humidity_percent,production_rate,operating_status,weather_condition,energy_cost_per_kwh,downtime_minutes,load_factor,maintenance_alert
2024-01-01 00:00:00,3.87,7.5,29.7,92,0,2,0.126,0,0.54,0
2024-01-01 01:00:00,4.22,34.4,73.3,108,0,1,0.122,0,0.84,0
2024-01-01 02:00:00,13.89,7.9,78.2,130,0,3,0.165,0,0.8,0
2024-01-01 03:00:00,13.11,18.7,36.1,163,1,0,0.105,30,0.0,1
2024-01-01 04:00:00,17.63,16.4,52.1,118,0,0,0.121,0,0.72,0
2024-01-01 05:00:00,17.57,-1.9,63.0,100,1,0,0.177,21,0.0,1
2024-01-01 06:00:00,13.33,32.5,88.0,63,2,1,0.129,0,0.0,0
2024-01-01 07:00:00,24.18,-0.1,51.3,143,1,3,0.141,26,0.0,1
2024-01-01 08:00:00,12.36,-1.0,86.1,143,0,1,0.169,0,0.89,0
2024-01-01 09:00:00,21.64,27.9,77.5,149,1,1,0.167,27,0.0,1
2024-01-01 10:00:00,20.6,8.2,66.7,137,0,3,0.135,0,0.65,0
2024-01-01 11:00:00,5.08,5.5,58.6,110,1,3,0.178,25,0.0,1
2024-01-01 12:00:00,7.77,-3.8,29.3,117,1,0,0.158,4,0.0,0
2024-01-01 13:00:00,26.37,2.9,45.8,179,1,3,0.185,13,0.0,0
2024-01-01 14:00:00,26.71,28.3,60.4,199,0,1,0.178,0,0.98,0
2024-01-01 15:00:00,6.19,-7.1,22.0,82,2,1,0.193,0,0.0,0
2024-01-01 16:00:00,10.31,17.3,49.8,69,0,1,0.183,0,0.96,0
2024-01-01 17:00:00,10.59,22.8,73.2,132,1,3,0.147,2,0.0,0
2024-01-01 18:00:00,13.23,29.8,75.0,77,0,1,0.107,0,0.52,0
2024-01-01 19:00:00,14.78,-4.1,60.7,135,1,2,0.194,12,0.0,0
2024-01-01 20:00:00,7.6,21.3,40.6,131,0,2,0.185,0,0.73,0
2024-01-01 21:00:00,6.26,19.4,59.6,119,0,2,0.106,0,0.69,0
2024-01-01 22:00:00,14.4,6.3,67.2,104,0,2,0.197,0,0.93,0
2024-01-01 23:00:00,16.34,12.3,55.0,121,0,0,0.111,0,1.0,0
2024-01-02 00:00:00,17.34,13.3,83.7,78,0,2,0.158,0,0.55,0
2024-01-02 01:00:00,14.22,15.8,61.8,71,0,3,0.105,0,0.73,0
2024-01-02 02:00:00,6.99,31.5,89.4,98,0,0,0.187,0,0.57,0
2024-01-02 03:00:00,22.84,27.9,39.4,136,0,1,0.17,0,0.7,0
2024-01-02 04:00:00,21.67,2.6,36.5,191,1,0,0.19,22,0.0,1
2024-01-02 05:00:00,16.91,24.0,78.4,105,0,3,0.198,0,0.88,0
2024-01-02 06:00:00,12.86,-0.5,75.4,181,0,0,0.2,0,0.69,0
2024-01-02 07:00:00,20.86,3.2,36.7,187,1,2,0.111,27,0.0,1
2024-01-02 08:00:00,12.09,32.9,40.6,177,2,2,0.105,0,0.0,0
2024-01-02 09:00:00,12.24,1.1,49.3,147,0,1,0.127,0,0.52,0
2024-01-02 10:00:00,8.65,3.5,74.5,57,2,2,0.129,0,0.0,0
2024-01-02 11:00:00,12.5,3.7,58.8,183,0,1,0.163,0,0.99,0
2024-01-02 12:00:00,7.96,-8.1,31.8,132,0,0,0.145,0,0.52,0
2024-01-02 13:00:00,3.64,11.5,85.0,74,0,3,0.136,0,0.88,0
2024-01-02 14:00:00,13.6,-3.0,25.4,93,0,3,0.101,0,0.9,0
2024-01-02 15:00:00,12.04,-7.0,56.7,52,0,3,0.124,0,0.55,0
2024-01-02 16:00:00,19.19,-2.1,79.8,151,2,3,0.12,0,0.0,0
2024-01-02 17:00:00,27.25,22.2,69.6,173,0,0,0.139,0,0.93,0
2024-01-02 18:00:00,7.02,10.1,82.8,157,0,3,0.118,0,0.92,0
2024-01-02 19:00:00,17.68,26.9,41.4,161,0,1,0.138,0,0.51,0
