timestamp,energy_consumption_kwh,temperature_celsius,humidity_percent,production_rate,operating_status,weather_condition,energy_cost_per_kwh,downtime_minutes,load_factor,maintenance_alert
2024-01-01 00:00:00,4.64,29.7,36.8,84,1,0,0.196,2,0.0,0
2024-01-01 01:00:00,27.4,11.9,48.4,191,0,1,0.153,0,0.64,0
2024-01-01 02:00:00,10.14,25.6,39.0,83,0,0,0.18,0,0.97,0
2024-01-01 03:00:00,4.25,17.3,55.3,63,0,1,0.162,0,0.66,0
2024-01-01 04:00:00,11.47,13.2,72.1,61,0,3,0.11,0,0.7,0
2024-01-01 05:00:00,10.16,-1.0,30.6,170,1,0,0.192,24,0.0,1
2024-01-01 06:00:00,16.1,22.1,83.6,166,0,2,0.1,0,0.52,0
2024-01-01 07:00:00,7.44,-3.5,74.7,106,0,0,0.11,0,0.93,0
2024-01-01 08:00:00,11.18,0.3,55.2,137,0,1,0.19,0,0.85,0
2024-01-01 09:00:00,18.13,10.4,80.4,132,1,1,0.181,30,0.0,1
2024-01-01 10:00:00,10.57,34.0,34.2,192,1,2,0.156,6,0.0,0
2024-01-01 11:00:00,5.75,14.0,80.8,77,1,2,0.143,17,0.0,0
2024-01-01 12:00:00,5.33,13.8,52.5,110,0,2,0.115,0,0.58,0
2024-01-01 13:00:00,10.07,16.8,50.0,194,0,2,0.174,0,0.9,0
2024-01-01 14:00:00,4.72,-0.5,70.6,88,1,3,0.186,8,0.0,0
2024-01-01 15:00:00,20.14,33.3,30.9,143,2,3,0.11,0,0.0,0
2024-01-01 16:00:00,10.43,33.3,51.6,66,0,1,0.176,0,0.62,0
2024-01-01 17:00:00,14.04,7.9,24.9,103,1,1,0.18,4,0.0,0
2024-01-01 18:00:00,15.52,28.3,57.5,91,0,0,0.115,0,0.87,0
2024-01-01 19:00:00,19.04,-9.8,33.6,169,0,1,0.132,0,0.71,0
2024-01-01 20:00:00,8.88,27.2,60.0,71,1,2,0.147,10,0.0,0
2024-01-01 21:00:00,24.76,28.2,54.0,175,0,0,0.125,0,0.77,0
2024-01-01 22:00:00,12.15,6.6,61.4,84,2,2,0.157,0,0.0,0
2024-01-01 23:00:00,16.25,13.7,51.8,75,0,1,0.127,0,0.72,0
2024-01-02 00:00:00,7.94,-0.5,43.3,99,0,0,0.167,0,0.85,0
2024-01-02 01:00:00,11.54,2.5,88.9,170,0,0,0.183,0,0.65,0
2024-01-02 02:00:00,14.67,8.6,66.5,127,0,2,0.151,0,0.9,0
2024-01-02 03:00:00,9.35,21.8,84.0,143,1,3,0.102,23,0.0,1
2024-01-02 04:00:00,5.84,35.0,39.8,149,2,3,0.125,0,0.0,0
2024-01-02 05:00:00,6.87,20.1,61.2,88,0,3,0.119,0,0.72,0
2024-01-02 06:00:00,18.38,-9.4,20.2,165,1,0,0.133,15,0.0,0
2024-01-02 07:00:00,17.17,-8.9,52.2,81,1,0,0.125,7,0.0,0
2024-01-02 08:00:00,7.27,1.3,52.8,128,2,3,0.164,0,0.0,0
2024-01-02 09:00:00,15.85,27.8,33.6,118,0,3,0.189,0,0.95,0
2024-01-02 10:00:00,17.24,14.9,30.7,137,0,1,0.173,0,0.88,0
2024-01-02 11:00:00,11.63,32.0,63.1,103,2,0,0.15,0,0.0,0
