timestamp,machine_name,energy_consumption_kwh,temperature_celsius,humidity_percent,production_rate,operating_status,weather_condition,energy_cost_per_kwh,downtime_minutes,load_factor,maintenance_alert
2023-01-01 00:00:00,Conveyor Belt,13.98,6.9,86.6,78,Operational,Snow,0.16,0,0.58,0
2023-01-01 01:00:00,Conveyor Belt,18.93,-3.0,24.1,112,Operational,Clear,0.16,0,0.85,0
2023-01-01 02:00:00,Conveyor Belt,25.03,-9.1,87.9,189,Operational,Cloudy,0.121,0,0.59,0
2023-01-01 03:00:00,Conveyor Belt,9.79,-1.7,41.3,58,Operational,Rain,0.143,0,0.65,0
2023-01-01 04:00:00,Conveyor Belt,9.06,17.5,29.8,109,Operational,Clear,0.137,0,0.73,0
2023-01-01 05:00:00,Conveyor Belt,17.91,25.3,34.0,193,Operational,Cloudy,0.159,0,0.52,0
2023-01-01 06:00:00,Conveyor Belt,5.19,17.3,31.9,106,Operational,Snow,0.195,0,0.98,0
2023-01-01 07:00:00,Conveyor Belt,4.2,26.4,41.3,51,Idle,Rain,0.168,22,0.0,1
2023-01-01 08:00:00,Conveyor Belt,15.38,9.8,28.5,158,Operational,Rain,0.103,0,0.95,0
2023-01-01 09:00:00,Conveyor Belt,9.21,1.6,66.4,105,Maintenance,Snow,0.152,0,0.0,0
2023-01-01 10:00:00,Conveyor Belt,17.17,14.6,32.9,76,Operational,Clear,0.178,0,0.97,0
2023-01-01 11:00:00,Conveyor Belt,22.59,30.3,61.9,141,Idle,Snow,0.109,25,0.0,1
2023-01-01 12:00:00,Conveyor Belt,7.41,-1.2,23.2,61,Idle,Clear,0.139,29,0.0,1
2023-01-01 13:00:00,Conveyor Belt,11.94,2.2,78.0,146,Operational,Snow,0.128,0,0.77,0
2023-01-01 14:00:00,Conveyor Belt,6.28,-3.7,76.2,142,Operational,Clear,0.199,0,0.89,0
2023-01-01 15:00:00,Conveyor Belt,13.72,-1.1,20.4,61,Operational,Snow,0.171,0,0.86,0
2023-01-01 16:00:00,Conveyor Belt,8.28,24.7,25.2,70,Idle,Clear,0.112,12,0.0,0
2023-01-01 17:00:00,Conveyor Belt,10.27,28.8,63.6,121,Operational,Snow,0.106,0,0.66,0
2023-01-01 18:00:00,Conveyor Belt,13.56,4.6,71.1,91,Operational,Rain,0.189,0,0.74,0
2023-01-01 19:00:00,Conveyor Belt,17.63,-4.6,69.9,118,Idle,Clear,0.156,19,0.0,0
2023-01-01 20:00:00,Conveyor Belt,11.93,24.7,54.6,93,Operational,Rain,0.143,0,0.51,0
2023-01-01 21:00:00,Conveyor Belt,13.54,-5.1,22.2,91,Operational,Snow,0.131,0,0.75,0
2023-01-01 22:00:00,Conveyor Belt,15.43,30.8,37.5,192,Operational,Snow,0.176,0,0.61,0
2023-01-01 23:00:00,Conveyor Belt,5.4,-6.5,40.3,64,Operational,Clear,0.193,0,0.9,0
2023-01-02 00:00:00,Conveyor Belt,19.39,18.5,81.0,130,Operational,Clear,0.119,0,0.95,0
2023-01-02 01:00:00,Conveyor Belt,18.7,14.3,76.5,104,Maintenance,Snow,0.132,0,0.0,0
2023-01-02 02:00:00,Conveyor Belt,11.05,-5.0,36.0,104,Operational,Cloudy,0.182,0,0.93,0
2023-01-02 03:00:00,Conveyor Belt,14.26,-9.7,55.8,167,Operational,Rain,0.122,0,0.56,0
2023-01-02 04:00:00,Conveyor Belt,9.77,5.2,86.0,113,Idle,Snow,0.152,23,0.0,1
2023-01-02 05:00:00,Conveyor Belt,29.23,21.6,45.5,199,Operational,Cloudy,0.196,0,0.63,0
2023-01-02 06:00:00,Conveyor Belt,10.35,12.4,41.1,142,Operational,Rain,0.104,0,0.8,0
2023-01-02 07:00:00,Conveyor Belt,11.84,12.6,23.6,180,Operational,Clear,0.191,0,0.62,0
2023-01-02 08:00:00,Conveyor Belt,17.6,-3.5,54.3,78,Operational,Rain,0.124,0,0.84,0
2023-01-02 09:00:00,Conveyor Belt,20.19,24.3,36.6,158,Operational,Cloudy,0.137,0,0.82,0
2023-01-02 10:00:00,Conveyor Belt,6.72,18.5,57.5,147,Operational,Cloudy,0.184,0,0.66,0
2023-01-02 11:00:00,Conveyor Belt,19.17,-1.6,22.9,185,Operational,Clear,0.168,0,0.51,0
